tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2010-02-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-03-31,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-04-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-05-31,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-06-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-07-31,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-08-31,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-09-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-10-31,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-11-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-11-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-11-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-11-04,DKI4 (Lubang Buaya),,27.0,8.0,22.0,45.0,10.0,45.0,O3,BAIK
